order_id,date,product,category,quantity,unit_price,total_price,region,customer_id
1001,2024-01-05,Laptop Pro 15,Electronics,2,1200.00,2400.00,North,C001
1002,2024-01-08,Ergonomic Office Chair,Furniture,5,350.00,1750.00,South,C002
1003,2024-01-12,Wireless Mouse,Electronics,20,25.00,500.00,East,C003
1004,2024-01-15,Standing Desk,Furniture,3,800.00,2400.00,West,C004
1005,2024-02-01,Mechanical Keyboard,Electronics,10,150.00,1500.00,North,C005
1006,2024-02-03,LED Monitor 27,Electronics,4,450.00,1800.00,South,C001
1007,2024-02-10,Filing Cabinet,Furniture,6,200.00,1200.00,East,C006
1008,2024-02-14,Webcam HD,Electronics,15,75.00,1125.00,West,C007
1009,2024-03-01,Desk Lamp,Furniture,12,45.00,540.00,North,C008
1010,2024-03-05,USB-C Hub,Electronics,8,60.00,480.00,South,C003
1011,2024-03-12,Laptop Pro 15,Electronics,1,1200.00,1200.00,East,C009
1012,2024-03-18,Bookshelf Unit,Furniture,2,500.00,1000.00,West,C010
1013,2024-04-02,Noise Cancelling Headphones,Electronics,7,300.00,2100.00,North,C002
1014,2024-04-10,Whiteboard 6ft,Furniture,4,150.00,600.00,South,C011
1015,2024-04-15,Wireless Mouse,Electronics,25,25.00,625.00,East,C005
1016,2024-04-22,Ergonomic Office Chair,Furniture,3,350.00,1050.00,West,C012
1017,2024-05-01,Laptop Pro 15,Electronics,2,1200.00,2400.00,North,C013
1018,2024-05-10,LED Monitor 27,Electronics,6,450.00,2700.00,South,C004
1019,2024-05-15,Standing Desk,Furniture,1,800.00,800.00,East,C014
1020,2024-05-20,Mechanical Keyboard,Electronics,5,150.00,750.00,West,C015
